artifact_id,model,method,checkov_rule_id,violation_class,v1_syntax_valid,v2_target_resolved,v3_new_issues_count,v4_lines_changed,v4_diff_ratio,overall_verified_fix,num_attempts,input_tokens,output_tokens,latency_seconds,error
BM-0015,claude-sonnet-4.6,plain,CKV_AWS_235,missing_encryption,True,True,0,6,0.1622,True,1,379,303,3.43,
BM-0016,claude-sonnet-4.6,plain,CKV_AWS_236,missing_encryption,True,False,0,6,0.1622,False,1,379,303,3.42,
BM-0019,claude-sonnet-4.6,plain,CKV_AWS_204,missing_encryption,True,True,0,5,0.0667,True,1,639,567,4.63,
BM-0029,claude-sonnet-4.6,plain,CKV_AWS_206,missing_encryption,True,True,0,4,0.1739,True,1,321,243,2.69,
BM-0031,claude-sonnet-4.6,plain,CKV_AWS_308,missing_encryption,True,True,0,4,0.1026,True,1,438,360,3.36,
BM-0032,claude-sonnet-4.6,plain,CKV_AWS_225,missing_encryption,True,False,0,4,0.1026,False,1,438,360,3.38,
BM-0036,claude-sonnet-4.6,plain,CKV_AWS_381,missing_encryption,True,True,0,10,0.2273,True,1,443,434,3.94,
BM-0037,claude-sonnet-4.6,plain,CKV_AWS_264,missing_encryption,True,True,0,1,0.0204,True,1,507,449,5.06,
BM-0038,claude-sonnet-4.6,plain,CKV_AWS_263,missing_encryption,True,True,0,4,0.046,True,1,637,578,4.7,
BM-0044,claude-sonnet-4.6,plain,CKV_AWS_215,missing_encryption,True,True,0,16,0.6667,True,1,359,303,3.0,
BM-0045,claude-sonnet-4.6,plain,CKV_AWS_214,missing_encryption,True,True,0,16,0.6667,True,1,359,303,3.34,
BM-0048,claude-sonnet-4.6,plain,CKV_AWS_159,missing_encryption,True,True,0,7,0.2333,True,1,283,244,3.46,
BM-0058,claude-sonnet-4.6,plain,CKV_AWS_210,over_permissive_access,True,True,0,4,0.0217,True,1,1319,1241,8.89,
BM-0138,claude-sonnet-4.6,plain,CKV_AWS_314,over_permissive_access,True,False,0,4,0.0667,False,1,506,428,3.88,
BM-0139,claude-sonnet-4.6,plain,CKV_AWS_316,over_permissive_access,True,True,0,4,0.0667,True,1,506,428,5.42,
BM-0140,claude-sonnet-4.6,plain,CKV_AWS_147,over_permissive_access,True,False,0,4,0.0667,False,1,506,428,3.88,
BM-0276,claude-sonnet-4.6,plain,CKV_AWS_163,over_permissive_access,True,False,0,7,0.0279,False,1,2150,2099,14.76,
BM-0277,claude-sonnet-4.6,plain,CKV_AWS_136,over_permissive_access,True,False,0,7,0.0279,False,1,2150,2099,14.61,
BM-0278,claude-sonnet-4.6,plain,CKV_AWS_51,over_permissive_access,True,False,0,7,0.0279,False,1,2150,2099,15.66,
BM-0279,claude-sonnet-4.6,plain,CKV_AWS_32,over_permissive_access,True,True,0,7,0.0279,True,1,2150,2099,14.74,
BM-0442,claude-sonnet-4.6,plain,CKV_AWS_137,network_hardening,True,True,0,12,0.4286,True,1,268,260,2.57,
BM-0443,claude-sonnet-4.6,plain,CKV_AWS_317,network_hardening,True,False,0,13,0.4643,False,1,268,260,3.03,
BM-0444,claude-sonnet-4.6,plain,CKV_AWS_228,network_hardening,True,False,0,12,0.4286,False,1,268,260,2.82,
BM-0445,claude-sonnet-4.6,plain,CKV_AWS_5,network_hardening,True,False,0,13,0.4643,False,1,268,260,4.98,
BM-0446,claude-sonnet-4.6,plain,CKV_AWS_247,network_hardening,True,False,0,12,0.4286,False,1,268,260,2.65,
BM-0447,claude-sonnet-4.6,plain,CKV_AWS_248,network_hardening,True,True,0,13,0.4643,True,1,268,260,2.79,
BM-0448,claude-sonnet-4.6,plain,CKV_AWS_84,network_hardening,True,False,0,13,0.4643,False,1,268,260,2.81,
BM-0449,claude-sonnet-4.6,plain,CKV_AWS_318,network_hardening,True,False,0,13,0.4643,False,1,268,260,2.89,
BM-0049,claude-sonnet-4.6,plain,CKV_AWS_79,public_exposure,True,False,0,11,0.1964,False,1,670,566,4.51,
BM-0050,claude-sonnet-4.6,plain,CKV_AWS_389,public_exposure,True,True,0,11,0.1964,True,1,670,566,4.85,
BM-0051,claude-sonnet-4.6,plain,CKV_AWS_8,public_exposure,True,False,0,11,0.1964,False,1,670,566,6.2,
BM-0052,claude-sonnet-4.6,plain,CKV_AWS_315,public_exposure,True,False,0,11,0.1964,False,1,670,566,4.54,
BM-0262,claude-sonnet-4.6,plain,CKV_AWS_126,public_exposure,True,False,0,26,0.208,False,1,902,810,6.49,
BM-0263,claude-sonnet-4.6,plain,CKV_AWS_135,public_exposure,True,False,0,26,0.208,False,1,902,810,6.26,
BM-0002,claude-sonnet-4.6,plain,CKV_AWS_233,weak_observability,True,False,0,4,0.0909,False,1,372,294,3.07,
BM-0003,claude-sonnet-4.6,plain,CKV_AWS_234,weak_observability,True,True,0,4,0.0909,True,1,372,294,3.94,
BM-0039,claude-sonnet-4.6,plain,CKV_AWS_194,weak_observability,True,True,0,6,0.1818,True,1,342,263,4.63,
BM-0040,claude-sonnet-4.6,plain,CKV2_AWS_33,weak_observability,True,False,0,6,0.1818,False,1,342,260,2.58,
BM-0042,claude-sonnet-4.6,plain,CKV_AWS_193,weak_observability,True,True,0,11,0.6111,True,1,210,172,2.49,
BM-0075,claude-sonnet-4.6,plain,CKV_AWS_338,weak_observability,True,False,0,4,0.8,False,1,124,58,1.52,
BM-0056,claude-sonnet-4.6,plain,CKV_AWS_153,insecure_defaults,True,True,0,6,0.1034,True,1,609,572,5.97,
BM-0080,claude-sonnet-4.6,plain,CKV_AWS_34,insecure_defaults,True,True,0,5,0.0248,True,1,1587,1526,10.56,
BM-0081,claude-sonnet-4.6,plain,CKV_AWS_174,insecure_defaults,True,False,0,5,0.0248,False,1,1587,1526,10.69,
BM-0082,claude-sonnet-4.6,plain,CKV_AWS_68,insecure_defaults,True,False,0,5,0.0248,False,1,1587,1526,10.6,
BM-0083,claude-sonnet-4.6,plain,CKV_AWS_310,insecure_defaults,True,False,0,5,0.0248,False,1,1587,1526,10.82,
BM-0004,claude-sonnet-4.6,plain,CKV_AWS_150,other,True,False,0,9,0.0726,False,1,1086,1025,7.7,
BM-0005,claude-sonnet-4.6,plain,CKV_AWS_91,other,True,False,0,9,0.0726,False,1,1086,1025,7.53,
BM-0006,claude-sonnet-4.6,plain,CKV_AWS_127,other,True,False,0,9,0.0726,False,1,1086,1025,7.75,
BM-0007,claude-sonnet-4.6,plain,CKV_AWS_376,other,True,False,0,9,0.0726,False,1,1086,1025,8.33,
BM-0008,claude-sonnet-4.6,plain,CKV_AWS_328,other,True,True,0,9,0.0726,True,1,1086,1025,7.52,
BM-0015,claude-sonnet-4.6,structured,CKV_AWS_235,missing_encryption,True,False,0,3,0.0811,False,1,567,418,3.74,
BM-0016,claude-sonnet-4.6,structured,CKV_AWS_236,missing_encryption,True,False,1,9,0.2432,False,1,568,538,5.35,
BM-0019,claude-sonnet-4.6,structured,CKV_AWS_204,missing_encryption,True,False,0,4,0.0533,False,1,829,750,7.32,
BM-0029,claude-sonnet-4.6,structured,CKV_AWS_206,missing_encryption,True,True,0,2,0.087,True,1,515,368,3.78,
BM-0031,claude-sonnet-4.6,structured,CKV_AWS_308,missing_encryption,True,True,0,2,0.0513,True,1,634,495,4.6,
BM-0032,claude-sonnet-4.6,structured,CKV_AWS_225,missing_encryption,True,True,0,2,0.0513,True,1,633,524,6.48,
BM-0036,claude-sonnet-4.6,structured,CKV_AWS_381,missing_encryption,True,False,0,2,0.0455,False,1,659,549,4.94,
BM-0037,claude-sonnet-4.6,structured,CKV_AWS_264,missing_encryption,True,True,0,3,0.0612,True,1,699,597,6.06,
BM-0038,claude-sonnet-4.6,structured,CKV_AWS_263,missing_encryption,True,True,0,2,0.023,True,1,826,773,6.42,
BM-0044,claude-sonnet-4.6,structured,CKV_AWS_215,missing_encryption,True,False,0,2,0.0833,False,1,553,392,3.91,
BM-0045,claude-sonnet-4.6,structured,CKV_AWS_214,missing_encryption,True,False,0,2,0.0833,False,1,553,395,4.44,
BM-0048,claude-sonnet-4.6,structured,CKV_AWS_159,missing_encryption,True,True,0,4,0.1333,True,1,476,352,3.63,
BM-0058,claude-sonnet-4.6,structured,CKV_AWS_210,over_permissive_access,True,True,0,2,0.0109,True,1,1515,1644,12.45,
BM-0138,claude-sonnet-4.6,structured,CKV_AWS_314,over_permissive_access,True,False,0,5,0.0833,False,1,703,632,6.59,
BM-0139,claude-sonnet-4.6,structured,CKV_AWS_316,over_permissive_access,True,True,0,2,0.0333,True,1,706,583,6.76,
