artifact_id,technology,violation_class,fixes_out_of,fix_count,difficulty
BM-0002,terraform,weak_observability,9,4,medium
BM-0003,terraform,weak_observability,9,9,easy
BM-0004,terraform,other,9,2,hard
BM-0005,terraform,other,9,3,hard
BM-0006,terraform,other,9,0,hard
BM-0007,terraform,other,9,2,hard
BM-0008,terraform,other,9,7,easy
BM-0015,terraform,missing_encryption,9,7,easy
BM-0016,terraform,missing_encryption,9,2,hard
BM-0019,terraform,missing_encryption,9,7,easy
BM-0029,terraform,missing_encryption,9,9,easy
BM-0031,terraform,missing_encryption,9,9,easy
BM-0032,terraform,missing_encryption,9,6,medium
BM-0036,terraform,missing_encryption,9,6,medium
BM-0037,terraform,missing_encryption,9,9,easy
BM-0038,terraform,missing_encryption,9,9,easy
BM-0039,terraform,weak_observability,9,9,easy
BM-0040,terraform,weak_observability,9,0,hard
BM-0042,terraform,weak_observability,9,9,easy
BM-0044,terraform,missing_encryption,9,6,medium
BM-0045,terraform,missing_encryption,9,6,medium
BM-0048,terraform,missing_encryption,9,9,easy
BM-0049,terraform,public_exposure,9,3,hard
BM-0050,terraform,public_exposure,9,9,easy
BM-0051,terraform,public_exposure,9,3,hard
BM-0052,terraform,public_exposure,9,3,hard
BM-0056,terraform,insecure_defaults,9,9,easy
BM-0058,terraform,over_permissive_access,9,9,easy
BM-0075,terraform,weak_observability,9,3,hard
BM-0080,terraform,insecure_defaults,9,3,hard
BM-0081,terraform,insecure_defaults,9,1,hard
BM-0082,terraform,insecure_defaults,9,1,hard
BM-0083,terraform,insecure_defaults,9,1,hard
BM-0138,terraform,over_permissive_access,9,3,hard
BM-0139,terraform,over_permissive_access,9,9,easy
BM-0140,terraform,over_permissive_access,9,8,easy
BM-0262,terraform,public_exposure,9,3,hard
BM-0263,terraform,public_exposure,9,3,hard
BM-0276,terraform,over_permissive_access,9,0,hard
BM-0277,terraform,over_permissive_access,9,2,hard
BM-0278,terraform,over_permissive_access,9,2,hard
BM-0279,terraform,over_permissive_access,9,4,medium
BM-0442,terraform,network_hardening,9,9,easy
BM-0443,terraform,network_hardening,9,1,hard
BM-0444,terraform,network_hardening,9,4,medium
BM-0445,terraform,network_hardening,9,4,medium
BM-0446,terraform,network_hardening,9,1,hard
BM-0447,terraform,network_hardening,9,9,easy
BM-0448,terraform,network_hardening,9,2,hard
BM-0449,terraform,network_hardening,9,0,hard
