technology,model,method,n,syntax_valid,target_resolved,no_regressions,verified_fix,syntax_rate,resolved_rate,no_reg_rate,verified_rate,ci_lower,ci_upper
terraform,claude-opus-4.6,plain,50,50,23,50,23,100.0,46.0,100.0,46.0,32.0,60.0
terraform,claude-opus-4.6,structured,50,50,17,48,17,100.0,34.0,96.0,34.0,22.0,46.0
terraform,claude-opus-4.6,verify_loop,50,50,46,49,46,100.0,92.0,98.0,92.0,84.0,98.0
terraform,claude-sonnet-4.6,plain,50,50,22,50,22,100.0,44.0,100.0,44.0,30.0,58.0
terraform,claude-sonnet-4.6,structured,50,50,17,45,16,100.0,34.0,90.0,32.0,20.0,44.0
terraform,claude-sonnet-4.6,verify_loop,50,50,38,46,34,100.0,76.0,92.0,68.0,54.0,80.0
terraform,llama4-maverick,plain,50,50,26,44,25,100.0,52.0,88.0,50.0,36.0,64.0
terraform,llama4-maverick,structured,50,50,21,50,21,100.0,42.0,100.0,42.0,28.0,56.0
terraform,llama4-maverick,verify_loop,50,50,37,47,35,100.0,74.0,94.0,70.0,56.0,82.0
kubernetes,claude-opus-4.6,plain,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,claude-opus-4.6,structured,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,claude-opus-4.6,verify_loop,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,claude-sonnet-4.6,plain,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,claude-sonnet-4.6,structured,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,claude-sonnet-4.6,verify_loop,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
kubernetes,llama4-maverick,plain,20,20,14,11,9,100.0,70.0,55.0,45.0,25.0,65.0
kubernetes,llama4-maverick,structured,20,19,19,19,19,95.0,95.0,95.0,95.0,85.0,100.0
kubernetes,llama4-maverick,verify_loop,20,20,20,20,20,100.0,100.0,100.0,100.0,100.0,100.0
