technology,violation_class,method,n,verified_rate
terraform,insecure_defaults,plain,15,33.3
terraform,insecure_defaults,structured,15,20.0
terraform,insecure_defaults,verify_loop,15,46.7
terraform,missing_encryption,plain,36,83.3
terraform,missing_encryption,structured,36,55.6
terraform,missing_encryption,verify_loop,36,97.2
terraform,network_hardening,plain,24,33.3
terraform,network_hardening,structured,24,25.0
terraform,network_hardening,verify_loop,24,66.7
terraform,other,plain,15,20.0
terraform,other,structured,15,20.0
terraform,other,verify_loop,15,53.3
terraform,over_permissive_access,plain,24,45.8
terraform,over_permissive_access,structured,24,37.5
terraform,over_permissive_access,verify_loop,24,70.8
terraform,public_exposure,plain,18,16.7
terraform,public_exposure,structured,18,22.2
terraform,public_exposure,verify_loop,18,94.4
terraform,weak_observability,plain,18,55.6
terraform,weak_observability,structured,18,50.0
terraform,weak_observability,verify_loop,18,83.3
kubernetes,insecure_defaults,plain,9,88.9
kubernetes,insecure_defaults,structured,9,100.0
kubernetes,insecure_defaults,verify_loop,9,100.0
kubernetes,missing_encryption,plain,6,83.3
kubernetes,missing_encryption,structured,6,100.0
kubernetes,missing_encryption,verify_loop,6,100.0
kubernetes,missing_runtime_safety,plain,12,75.0
kubernetes,missing_runtime_safety,structured,12,100.0
kubernetes,missing_runtime_safety,verify_loop,12,100.0
kubernetes,network_hardening,plain,9,100.0
kubernetes,network_hardening,structured,9,88.9
kubernetes,network_hardening,verify_loop,9,100.0
kubernetes,other,plain,3,100.0
kubernetes,other,structured,3,100.0
kubernetes,other,verify_loop,3,100.0
kubernetes,over_permissive_access,plain,18,66.7
kubernetes,over_permissive_access,structured,18,100.0
kubernetes,over_permissive_access,verify_loop,18,100.0
kubernetes,weak_observability,plain,3,100.0
kubernetes,weak_observability,structured,3,100.0
kubernetes,weak_observability,verify_loop,3,100.0
